Region,Product,Sales
Gauteng,Electronics,245000
Gauteng,Clothing,132000
Gauteng,Food,98000
Gauteng,Home,175000
Western Cape,Electronics,198000
Western Cape,Clothing,154000
Western Cape,Food,112000
Western Cape,Home,143000
KwaZulu-Natal,Electronics,167000
KwaZulu-Natal,Clothing,121000
KwaZulu-Natal,Food,134000
KwaZulu-Natal,Home,108000
Eastern Cape,Electronics,89000
Eastern Cape,Clothing,76000
Eastern Cape,Food,91000
Eastern Cape,Home,64000
Limpopo,Electronics,72000
Limpopo,Clothing,58000
Limpopo,Food,83000
Limpopo,Home,49000
Free State,Electronics,61000
Free State,Clothing,53000
Free State,Food,77000
Free State,Home,42000
